Order_ID,Customer_Age,Food_Category,Order_Amount,Location,Order_Time,Delivery_Time_Min,Payment_Method,Restaurant,Discount,Rating
100050,26,North Indian,403,Salem,Late Night,17,UPI,Hotel Aryaas,20,5
100051,58,Pizza,538,Chennai,Evening,29,UPI,Local Kitchen,20,4
100052,44,South Indian,363,Madurai,Late Night,34,Wallet,Hotel Aryaas,0,4
100053,55,North Indian,397,Bangalore,Dinner,30,UPI,Chinese Wok,0,5
100054,51,Fast Food,483,Coimbatore,Late Night,19,Wallet,Dominos,50,5
100055,37,South Indian,437,Madurai,Breakfast,43,UPI,Hotel Aryaas,0,4
100056,54,South Indian,303,Salem,Dinner,46,Cash on Delivery,Local Kitchen,0,4
100057,22,South Indian,346,Chennai,Dinner,24,Credit Card,Anjappar,20,5
100058,26,Pizza,302,Chennai,Breakfast,15,Cash on Delivery,KFC,50,5
100059,20,South Indian,574,Salem,Dinner,54,UPI,Chinese Wok,20,4
100060,29,Fast Food,342,Bangalore,Dinner,30,Cash on Delivery,Anjappar,0,5
100061,31,Fast Food,539,Coimbatore,Dinner,24,UPI,Saravana Bhavan,30,4
100062,28,Biryani,469,Bangalore,Breakfast,33,Credit Card,Saravana Bhavan,20,4
100063,46,South Indian,441,Madurai,Dinner,37,Cash on Delivery,A2B,30,5
100064,30,Fast Food,285,Madurai,Breakfast,28,UPI,Chinese Wok,75,4
100065,28,Biryani,467,Salem,Dinner,35,Debit Card,Anjappar,0,5
100066,35,Chinese,519,Coimbatore,Breakfast,33,UPI,Dominos,20,4
100067,25,Chinese,575,Coimbatore,Lunch,27,Credit Card,Saravana Bhavan,100,4
100068,45,Chinese,301,Bangalore,Lunch,18,Credit Card,A2B,50,4
100069,21,South Indian,408,Coimbatore,Dinner,47,UPI,SS Hyderabad Biryani,20,4
100070,59,North Indian,630,Bangalore,Late Night,40,UPI,SS Hyderabad Biryani,0,5
100071,43,North Indian,604,Coimbatore,Lunch,26,UPI,KFC,100,5
100072,26,Pizza,431,Chennai,Lunch,38,UPI,Dominos,0,5
100073,18,Chinese,282,Coimbatore,Evening,25,UPI,A2B,20,3
100074,45,Fast Food,587,Madurai,Dinner,34,Credit Card,Chinese Wok,20,4
100075,41,North Indian,444,Madurai,Evening,40,Debit Card,SS Hyderabad Biryani,0,3
100076,42,Fast Food,321,Coimbatore,Lunch,39,Credit Card,Hotel Aryaas,0,4
100077,43,Biryani,413,Chennai,Dinner,30,Credit Card,Local Kitchen,20,4
100078,21,South Indian,284,Coimbatore,Lunch,42,Credit Card,Anjappar,20,4
100079,30,Biryani,585,Madurai,Evening,34,UPI,Burger King,100,4
100080,24,North Indian,242,Coimbatore,Lunch,29,Cash on Delivery,A2B,30,5
100081,49,South Indian,646,Madurai,Dinner,51,UPI,Chinese Wok,75,4
100082,38,South Indian,489,Bangalore,Late Night,23,UPI,Local Kitchen,0,3
100083,30,Chinese,286,Chennai,Dinner,38,UPI,Hotel Aryaas,0,5
100084,21,South Indian,400,Madurai,Evening,48,Debit Card,KFC,0,4
100085,29,Biryani,385,Chennai,Evening,17,UPI,Saravana Bhavan,20,5
100086,29,South Indian,328,Bangalore,Lunch,50,UPI,A2B,75,3
100087,42,Chinese,473,Chennai,Dinner,51,UPI,Dominos,20,4
100088,38,Fast Food,747,Chennai,Dinner,29,UPI,KFC,30,5
100089,51,Chinese,338,Bangalore,Late Night,37,Debit Card,Burger King,75,5
100090,33,Fast Food,457,Coimbatore,Lunch,27,Debit Card,Saravana Bhavan,30,5
100091,24,Fast Food,446,Madurai,Dinner,26,UPI,KFC,30,5
100092,41,Biryani,471,Madurai,Dinner,23,UPI,KFC,30,4
100093,43,Fast Food,196,Madurai,Lunch,51,Credit Card,Dominos,20,4
100094,36,Pizza,663,Coimbatore,Dinner,32,Wallet,Saravana Bhavan,20,4
100095,43,Pizza,987,Bangalore,Late Night,20,Credit Card,KFC,75,5
100096,34,Fast Food,443,Bangalore,Late Night,44,Debit Card,Local Kitchen,20,4
100097,35,South Indian,570,Coimbatore,Dinner,41,Credit Card,KFC,20,4
100098,32,Chinese,512,Bangalore,Breakfast,38,UPI,Chinese Wok,0,5
100099,19,Fast Food,298,Salem,Dinner,27,Wallet,A2B,30,5
100100,23,Biryani,431,Chennai,Dinner,30,UPI,KFC,0,4
100101,19,North Indian,347,Trichy,Lunch,55,Debit Card,Burger King,20,4
100102,38,South Indian,416,Chennai,Lunch,38,Wallet,Hotel Aryaas,100,3
100103,29,North Indian,451,Coimbatore,Lunch,29,UPI,Dominos,75,5
100104,34,Fast Food,463,Coimbatore,Breakfast,41,UPI,Chinese Wok,30,4
100105,52,Chinese,337,Bangalore,Dinner,42,Credit Card,A2B,50,4
100106,27,Fast Food,463,Chennai,Lunch,52,Debit Card,A2B,0,5
100107,32,Fast Food,422,Trichy,Breakfast,35,Wallet,Hotel Aryaas,0,5
100108,43,South Indian,644,Trichy,Evening,41,Debit Card,SS Hyderabad Biryani,30,5
100109,27,Fast Food,560,Bangalore,Evening,39,UPI,A2B,75,4
100110,22,Biryani,600,Coimbatore,Lunch,27,Credit Card,Hotel Aryaas,75,4
100111,29,Fast Food,616,Salem,Breakfast,20,Debit Card,KFC,30,5
100112,25,Biryani,318,Trichy,Lunch,40,Debit Card,SS Hyderabad Biryani,100,4
100113,54,Chinese,551,Coimbatore,Dinner,41,UPI,Dominos,0,5
100114,45,South Indian,313,Madurai,Breakfast,15,Credit Card,Saravana Bhavan,50,4
100115,38,Biryani,711,Bangalore,Dinner,39,Wallet,SS Hyderabad Biryani,20,5
100116,49,Biryani,547,Bangalore,Lunch,33,Debit Card,Burger King,100,4
100117,45,Biryani,306,Coimbatore,Lunch,38,UPI,SS Hyderabad Biryani,20,4
100118,26,South Indian,469,Coimbatore,Evening,29,UPI,Anjappar,20,4
100119,51,Biryani,331,Chennai,Lunch,49,UPI,Hotel Aryaas,30,5
100120,35,Chinese,376,Coimbatore,Lunch,44,Debit Card,A2B,20,4
100121,45,Biryani,496,Madurai,Lunch,20,Credit Card,Local Kitchen,20,5
100122,51,Fast Food,360,Salem,Lunch,24,UPI,Anjappar,30,4
100123,29,North Indian,404,Salem,Dinner,35,Debit Card,Dominos,75,4
100124,23,Chinese,621,Bangalore,Breakfast,28,Cash on Delivery,A2B,50,5
100125,27,Biryani,417,Bangalore,Dinner,45,UPI,Anjappar,20,3
100126,32,Pizza,319,Chennai,Dinner,24,UPI,Local Kitchen,20,5
100127,45,South Indian,233,Madurai,Dinner,45,Debit Card,A2B,0,5
100128,48,Pizza,561,Chennai,Lunch,15,Credit Card,Chinese Wok,75,4
100129,18,South Indian,558,Coimbatore,Dinner,30,Debit Card,KFC,75,4
100130,34,Chinese,470,Bangalore,Lunch,48,Credit Card,Saravana Bhavan,0,5
100131,32,North Indian,932,Coimbatore,Lunch,33,UPI,Anjappar,50,5
100132,27,Fast Food,398,Chennai,Breakfast,34,Wallet,A2B,75,5
100133,24,Chinese,647,Trichy,Late Night,42,Debit Card,Local Kitchen,50,4
100134,30,South Indian,348,Coimbatore,Lunch,39,UPI,A2B,20,4
100135,56,Biryani,573,Chennai,Late Night,33,Cash on Delivery,Chinese Wok,20,5
100136,29,Biryani,303,Chennai,Lunch,47,Wallet,KFC,20,5
100137,34,Biryani,568,Chennai,Late Night,35,UPI,Dominos,30,4
100138,41,Chinese,405,Chennai,Late Night,39,Cash on Delivery,A2B,75,4
100139,30,South Indian,526,Madurai,Late Night,43,UPI,Saravana Bhavan,50,5
100140,58,South Indian,477,Coimbatore,Evening,15,UPI,Local Kitchen,30,5
100141,57,Biryani,555,Trichy,Dinner,27,UPI,Local Kitchen,75,4
100142,28,South Indian,227,Chennai,Late Night,28,UPI,Dominos,0,5
100143,34,North Indian,421,Coimbatore,Lunch,41,Credit Card,Local Kitchen,20,5
100144,29,Fast Food,633,Madurai,Evening,51,Debit Card,A2B,20,4
100145,28,Chinese,666,Bangalore,Dinner,15,Cash on Delivery,A2B,30,5
100146,19,Pizza,518,Bangalore,Lunch,30,UPI,Burger King,100,4
100147,37,Pizza,642,Salem,Dinner,45,Credit Card,Chinese Wok,30,5
100148,34,South Indian,414,Chennai,Breakfast,17,Credit Card,KFC,20,4
100149,20,Pizza,151,Coimbatore,Evening,38,Credit Card,Saravana Bhavan,50,5
100150,28,Fast Food,353,Trichy,Lunch,39,Debit Card,A2B,100,4
100151,53,Pizza,457,Chennai,Lunch,39,Credit Card,A2B,30,5
100152,27,Fast Food,479,Chennai,Lunch,23,Credit Card,KFC,20,5
100153,25,Fast Food,507,Chennai,Dinner,34,Cash on Delivery,KFC,50,4
100154,34,Biryani,444,Bangalore,Lunch,22,Cash on Delivery,SS Hyderabad Biryani,30,5
100155,59,Pizza,447,Chennai,Dinner,45,Credit Card,SS Hyderabad Biryani,30,4
100156,27,Fast Food,581,Chennai,Dinner,23,UPI,KFC,100,5
100157,40,Fast Food,328,Coimbatore,Evening,34,Wallet,Saravana Bhavan,20,5
100158,43,Fast Food,477,Bangalore,Lunch,55,Credit Card,Chinese Wok,20,3
100159,27,North Indian,518,Chennai,Lunch,45,Debit Card,Saravana Bhavan,30,3
100160,42,Pizza,360,Coimbatore,Evening,16,UPI,Hotel Aryaas,30,5
100161,31,South Indian,402,Bangalore,Breakfast,31,Cash on Delivery,Hotel Aryaas,20,5
100162,38,South Indian,756,Salem,Dinner,35,Debit Card,Chinese Wok,20,5
100163,38,South Indian,469,Bangalore,Late Night,32,Debit Card,A2B,30,5
100164,35,Fast Food,1046,Madurai,Lunch,38,UPI,A2B,0,4
100165,22,North Indian,456,Coimbatore,Dinner,40,Debit Card,Hotel Aryaas,20,4
100166,46,Biryani,592,Chennai,Late Night,52,UPI,Chinese Wok,75,4
100167,29,Fast Food,266,Coimbatore,Dinner,29,UPI,Saravana Bhavan,75,4
100168,26,Fast Food,227,Trichy,Dinner,41,UPI,SS Hyderabad Biryani,20,4
100169,20,South Indian,314,Coimbatore,Dinner,32,UPI,SS Hyderabad Biryani,75,4
100170,37,South Indian,620,Trichy,Lunch,50,UPI,KFC,0,4
100171,40,South Indian,405,Salem,Dinner,38,Debit Card,Chinese Wok,0,4
100172,18,Biryani,262,Chennai,Late Night,34,Cash on Delivery,Burger King,30,5
100173,34,South Indian,453,Chennai,Evening,31,UPI,Saravana Bhavan,50,5
100174,27,Fast Food,597,Chennai,Evening,25,Cash on Delivery,KFC,20,5
100175,39,Biryani,326,Coimbatore,Evening,43,Credit Card,Dominos,100,3
100176,26,Biryani,611,Chennai,Lunch,26,Wallet,Hotel Aryaas,30,4
100177,40,Pizza,285,Trichy,Lunch,15,UPI,Burger King,100,5
100178,31,South Indian,592,Chennai,Dinner,24,UPI,KFC,0,4
100179,55,Chinese,652,Coimbatore,Dinner,36,Cash on Delivery,KFC,30,5
100180,25,Chinese,352,Chennai,Evening,22,UPI,Saravana Bhavan,20,5
100181,30,Chinese,687,Salem,Breakfast,26,Credit Card,Chinese Wok,75,5
100182,23,South Indian,739,Bangalore,Dinner,15,Credit Card,Burger King,0,5
100183,54,Fast Food,509,Salem,Lunch,26,Cash on Delivery,SS Hyderabad Biryani,50,4
100184,50,Fast Food,361,Salem,Lunch,51,UPI,Hotel Aryaas,0,3
100185,28,Chinese,1071,Coimbatore,Dinner,28,Credit Card,Hotel Aryaas,75,4
100186,39,South Indian,343,Chennai,Evening,33,UPI,KFC,30,3
100187,45,Pizza,778,Chennai,Breakfast,56,UPI,Local Kitchen,0,4
100188,35,Pizza,888,Chennai,Evening,37,UPI,A2B,75,3
100189,35,Biryani,516,Madurai,Dinner,37,Wallet,Burger King,30,4
100190,27,Biryani,303,Chennai,Dinner,24,UPI,Anjappar,0,5
100191,22,Chinese,501,Chennai,Evening,36,Credit Card,Burger King,0,5
100192,52,Fast Food,943,Bangalore,Lunch,51,Credit Card,Dominos,20,4
100193,52,Biryani,360,Bangalore,Dinner,22,Debit Card,KFC,50,5
100194,38,Pizza,434,Bangalore,Dinner,32,Credit Card,Burger King,20,4
100195,30,Fast Food,212,Coimbatore,Dinner,22,Credit Card,Burger King,30,3
100196,30,North Indian,435,Trichy,Dinner,50,UPI,Dominos,0,3
100197,42,Chinese,564,Bangalore,Evening,22,Debit Card,Local Kitchen,50,5
100198,52,Pizza,316,Chennai,Dinner,27,Credit Card,Saravana Bhavan,20,5
100199,51,Biryani,766,Madurai,Dinner,22,UPI,Local Kitchen,20,5
100200,44,Fast Food,273,Salem,Dinner,20,Cash on Delivery,KFC,30,4
100201,39,South Indian,362,Chennai,Late Night,35,Debit Card,Hotel Aryaas,50,5
100202,22,Biryani,710,Coimbatore,Evening,30,Credit Card,Local Kitchen,0,4
100203,25,Fast Food,423,Coimbatore,Late Night,38,Credit Card,Dominos,0,5
100204,52,Fast Food,831,Chennai,Dinner,40,UPI,A2B,0,5
100205,37,Biryani,234,Trichy,Dinner,17,Cash on Delivery,Burger King,75,4
100206,18,Biryani,393,Coimbatore,Breakfast,37,UPI,Chinese Wok,75,5
100207,23,Pizza,506,Madurai,Dinner,25,UPI,Local Kitchen,30,3
100208,39,Biryani,929,Bangalore,Dinner,35,Cash on Delivery,KFC,0,4
100209,18,Biryani,471,Bangalore,Lunch,37,Credit Card,Local Kitchen,50,4
100210,25,Chinese,547,Chennai,Dinner,31,UPI,Hotel Aryaas,75,5
100211,35,North Indian,445,Chennai,Dinner,47,Debit Card,A2B,75,4
100212,40,Fast Food,429,Chennai,Lunch,20,Wallet,Local Kitchen,75,5
100213,39,Biryani,360,Chennai,Evening,23,UPI,Anjappar,20,5
100214,27,South Indian,522,Coimbatore,Dinner,36,UPI,Anjappar,30,5
100215,41,North Indian,406,Trichy,Evening,55,Credit Card,A2B,30,4
100216,27,Pizza,559,Coimbatore,Breakfast,25,UPI,Burger King,30,4
100217,29,Chinese,468,Madurai,Breakfast,33,Debit Card,A2B,30,4
100218,43,Fast Food,391,Coimbatore,Lunch,46,Credit Card,SS Hyderabad Biryani,0,3
100219,39,South Indian,770,Madurai,Lunch,43,Credit Card,SS Hyderabad Biryani,75,5
100220,47,Biryani,348,Salem,Lunch,40,UPI,Saravana Bhavan,0,3
100221,39,Chinese,214,Chennai,Dinner,27,UPI,KFC,0,4
100222,36,Chinese,366,Trichy,Dinner,34,UPI,Saravana Bhavan,0,5
100223,22,North Indian,205,Bangalore,Dinner,34,UPI,A2B,75,4
100224,31,Fast Food,413,Trichy,Breakfast,44,Debit Card,Anjappar,100,3
100225,28,Biryani,746,Bangalore,Evening,33,UPI,Saravana Bhavan,20,5
100226,27,South Indian,754,Coimbatore,Lunch,48,UPI,Local Kitchen,0,5
100227,58,Chinese,378,Chennai,Dinner,33,UPI,Local Kitchen,0,5
100228,31,Pizza,542,Chennai,Dinner,35,Wallet,Anjappar,75,5
100229,51,Biryani,586,Bangalore,Dinner,33,UPI,Dominos,20,4
100230,38,Fast Food,267,Salem,Breakfast,32,UPI,KFC,30,5
100231,44,South Indian,676,Madurai,Dinner,33,UPI,A2B,20,5
100232,34,Fast Food,283,Coimbatore,Dinner,34,Wallet,Burger King,75,4
100233,36,Pizza,388,Trichy,Dinner,18,UPI,Burger King,75,5
100234,34,South Indian,306,Madurai,Evening,31,Credit Card,Burger King,75,5
100235,26,Pizza,504,Coimbatore,Dinner,51,UPI,Saravana Bhavan,20,4
100236,42,South Indian,335,Chennai,Breakfast,16,UPI,Local Kitchen,0,5
100237,28,Pizza,361,Chennai,Dinner,32,UPI,Dominos,30,4
100238,19,Fast Food,626,Trichy,Lunch,28,Credit Card,KFC,0,5
100239,39,Pizza,376,Trichy,Breakfast,37,Debit Card,Burger King,20,5
100240,26,Fast Food,447,Coimbatore,Breakfast,39,Debit Card,Dominos,100,5
100241,55,South Indian,281,Coimbatore,Late Night,35,Cash on Delivery,Saravana Bhavan,75,4
100242,57,Biryani,253,Madurai,Lunch,15,UPI,Local Kitchen,20,5
100243,53,South Indian,479,Salem,Dinner,15,UPI,A2B,20,5
100244,31,Fast Food,370,Madurai,Late Night,15,Debit Card,Local Kitchen,30,5
100245,18,Fast Food,820,Bangalore,Late Night,33,UPI,KFC,50,4
100246,54,North Indian,968,Chennai,Dinner,18,Wallet,Hotel Aryaas,0,5
100247,32,Biryani,290,Bangalore,Dinner,15,Wallet,Hotel Aryaas,75,4
100248,58,Pizza,256,Chennai,Lunch,25,UPI,Local Kitchen,0,5
100249,57,North Indian,828,Trichy,Lunch,27,Debit Card,Chinese Wok,30,5
100250,48,Biryani,528,Coimbatore,Dinner,33,UPI,Burger King,30,3
100251,29,Chinese,474,Trichy,Evening,34,UPI,Local Kitchen,20,4
100252,31,Fast Food,265,Coimbatore,Breakfast,35,Cash on Delivery,SS Hyderabad Biryani,30,5
100253,48,Biryani,937,Trichy,Dinner,42,Credit Card,Chinese Wok,75,4
100254,29,Fast Food,330,Coimbatore,Dinner,31,UPI,Dominos,20,5
100255,25,North Indian,594,Coimbatore,Dinner,41,UPI,Saravana Bhavan,75,3
100256,35,Biryani,583,Bangalore,Dinner,31,UPI,Anjappar,0,4
100257,55,South Indian,248,Chennai,Dinner,30,UPI,A2B,30,4
100258,41,South Indian,351,Salem,Evening,28,Debit Card,Chinese Wok,20,5
100259,36,Pizza,272,Bangalore,Evening,34,Debit Card,A2B,100,4
100260,23,Biryani,217,Bangalore,Late Night,41,Debit Card,Anjappar,0,3
100261,38,Chinese,413,Trichy,Lunch,40,UPI,Hotel Aryaas,0,4
100262,60,Chinese,283,Trichy,Evening,40,UPI,KFC,75,5
100263,25,Chinese,331,Bangalore,Dinner,37,UPI,KFC,50,4
100264,34,North Indian,262,Salem,Evening,22,Wallet,Hotel Aryaas,0,4
100265,50,Pizza,394,Chennai,Lunch,62,UPI,Saravana Bhavan,100,3
100266,42,Biryani,817,Chennai,Lunch,21,UPI,Burger King,75,5
100267,41,South Indian,500,Bangalore,Lunch,35,UPI,SS Hyderabad Biryani,0,3
100268,41,Fast Food,367,Coimbatore,Lunch,64,UPI,KFC,50,4
100269,30,Fast Food,435,Coimbatore,Dinner,43,Cash on Delivery,SS Hyderabad Biryani,20,4
100270,29,South Indian,487,Coimbatore,Evening,27,UPI,A2B,30,4
100271,45,Fast Food,490,Coimbatore,Lunch,46,Debit Card,Saravana Bhavan,50,5
100272,45,South Indian,400,Trichy,Evening,36,Wallet,Local Kitchen,30,5
100273,49,North Indian,344,Bangalore,Lunch,26,Cash on Delivery,Hotel Aryaas,0,5
100274,53,Biryani,593,Salem,Late Night,36,UPI,Dominos,30,5
100275,34,North Indian,296,Madurai,Evening,30,UPI,Burger King,0,5
100276,34,South Indian,596,Chennai,Late Night,32,Debit Card,KFC,20,5
100277,44,Chinese,379,Chennai,Lunch,34,Wallet,Hotel Aryaas,20,5
100278,39,Pizza,679,Coimbatore,Dinner,41,Debit Card,Burger King,0,4
100279,41,Fast Food,310,Trichy,Lunch,43,UPI,SS Hyderabad Biryani,0,5
100280,44,South Indian,308,Chennai,Breakfast,27,UPI,Anjappar,50,5
100281,51,Fast Food,453,Chennai,Breakfast,38,Credit Card,Chinese Wok,30,5
100282,30,Fast Food,329,Trichy,Dinner,31,UPI,KFC,100,5
100283,31,North Indian,831,Bangalore,Lunch,42,UPI,Local Kitchen,100,5
100284,22,Pizza,347,Chennai,Evening,24,Credit Card,SS Hyderabad Biryani,0,4
100285,36,Biryani,319,Chennai,Dinner,34,Credit Card,Chinese Wok,75,4
100286,19,Biryani,520,Trichy,Lunch,16,UPI,Hotel Aryaas,20,5
100287,33,South Indian,197,Trichy,Lunch,41,UPI,Local Kitchen,0,4
100288,35,Biryani,225,Chennai,Dinner,52,UPI,Chinese Wok,30,4
100289,28,South Indian,853,Coimbatore,Evening,49,UPI,Saravana Bhavan,20,5
100290,37,Biryani,557,Trichy,Dinner,42,Cash on Delivery,Saravana Bhavan,30,5
100291,19,South Indian,488,Madurai,Evening,40,Debit Card,KFC,30,5
100292,19,Biryani,336,Trichy,Evening,55,UPI,A2B,20,5
100293,45,Fast Food,422,Bangalore,Lunch,28,Debit Card,Chinese Wok,30,5
100294,30,Chinese,351,Salem,Late Night,31,UPI,SS Hyderabad Biryani,30,4
100295,24,South Indian,375,Coimbatore,Dinner,48,Debit Card,Saravana Bhavan,30,5
100296,35,North Indian,616,Chennai,Late Night,33,UPI,Burger King,100,5
100297,43,Pizza,507,Madurai,Evening,25,UPI,Local Kitchen,30,5
100298,27,Fast Food,388,Bangalore,Dinner,19,UPI,Anjappar,20,5
100299,38,Biryani,242,Trichy,Evening,26,UPI,Anjappar,0,4
100300,22,Pizza,991,Chennai,Evening,52,UPI,Saravana Bhavan,30,3
100301,20,North Indian,300,Trichy,Dinner,33,Debit Card,Anjappar,30,5
100302,35,Pizza,618,Coimbatore,Lunch,26,UPI,Dominos,30,4
100303,35,Biryani,347,Bangalore,Lunch,33,Credit Card,Local Kitchen,30,5
100304,38,North Indian,473,Chennai,Lunch,37,Debit Card,KFC,20,3
100305,42,Fast Food,320,Bangalore,Dinner,15,Debit Card,A2B,100,5
100306,58,Chinese,343,Madurai,Evening,25,UPI,Burger King,30,5
100307,34,North Indian,334,Coimbatore,Evening,19,UPI,A2B,0,5
100308,29,Fast Food,461,Chennai,Late Night,49,Cash on Delivery,Saravana Bhavan,0,4
100309,44,North Indian,336,Bangalore,Evening,33,Credit Card,Dominos,30,4
100310,28,Fast Food,454,Trichy,Lunch,32,Debit Card,Saravana Bhavan,50,5
100311,32,North Indian,713,Coimbatore,Dinner,32,UPI,Hotel Aryaas,0,5
100312,22,Fast Food,291,Chennai,Dinner,23,UPI,Hotel Aryaas,30,4
100313,19,North Indian,291,Chennai,Breakfast,39,Credit Card,KFC,100,4
100314,57,Biryani,775,Salem,Dinner,52,UPI,Anjappar,30,4
100315,46,Chinese,562,Coimbatore,Breakfast,28,Debit Card,SS Hyderabad Biryani,75,5
100316,41,South Indian,443,Chennai,Evening,43,Debit Card,Hotel Aryaas,0,5
100317,32,South Indian,260,Madurai,Lunch,33,Debit Card,Hotel Aryaas,30,4
100318,26,Fast Food,245,Madurai,Lunch,26,Credit Card,KFC,20,5
100319,25,Chinese,318,Chennai,Evening,43,Credit Card,Local Kitchen,0,4
100320,28,Biryani,466,Salem,Late Night,18,Credit Card,Chinese Wok,30,5
100321,35,South Indian,636,Bangalore,Dinner,20,Debit Card,SS Hyderabad Biryani,20,4
100322,41,Fast Food,461,Bangalore,Late Night,52,UPI,Hotel Aryaas,30,4
100323,39,North Indian,471,Coimbatore,Dinner,30,Debit Card,Chinese Wok,30,5
100324,28,Biryani,668,Trichy,Breakfast,46,Credit Card,Burger King,30,4
100325,57,Biryani,518,Chennai,Lunch,33,Credit Card,Burger King,0,3
100326,42,Fast Food,363,Coimbatore,Late Night,15,Credit Card,KFC,20,4
100327,35,Fast Food,433,Chennai,Dinner,41,UPI,Saravana Bhavan,100,3
100328,38,Fast Food,643,Madurai,Late Night,38,UPI,Hotel Aryaas,20,3
100329,32,South Indian,487,Bangalore,Lunch,27,Debit Card,Local Kitchen,20,5
100330,27,Pizza,802,Bangalore,Lunch,45,Cash on Delivery,KFC,75,4
100331,30,Chinese,339,Chennai,Evening,43,Credit Card,Burger King,30,5
100332,43,South Indian,300,Bangalore,Lunch,26,Cash on Delivery,Burger King,0,4
100333,18,Biryani,501,Madurai,Lunch,45,Credit Card,A2B,30,5
100334,24,Chinese,457,Coimbatore,Evening,36,Wallet,Local Kitchen,75,5
100335,20,Biryani,290,Trichy,Dinner,35,Credit Card,KFC,50,4
100336,20,Pizza,353,Coimbatore,Lunch,27,UPI,KFC,50,4
